Cargo,Experiência,Salário
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,de R$ 25.001/mês a R$ 30.000/mês
Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
,,
,,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Internet/Ecommerce,Acima de 3.000,FALSE
Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Analista de Negócios/Business Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software
,,de R$ 16.001/mês a R$ 20.000/mês
Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Cientista de Dados/Data Scientist,Júnior,de R$ 1.001/mês a R$ 2.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 20.001/mês a R$ 25.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês
,,
Analista de BI/BI Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Acima de R$ 40.001/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Cientista de Dados/Data Scientist,Sênior,de R$ 20.001/mês a R$ 25.000/mês
,,
Área de Consultoria,de 11 a 50,FALSE
Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Analytics Engineer,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 25.001/mês a R$ 30.000/mês
Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês
"""Desempregado"," buscando recolocação""",
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
,,
,,de R$ 25.001/mês a R$ 30.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
,,
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,de R$ 25.001/mês a R$ 30.000/mês
Analista de Negócios/Business Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
,,
Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Analista de Suporte/Analista Técnico,Pleno,de R$ 1.001/mês a R$ 2.000/mês
,,
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analytics Engineer,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
,,
,,de R$ 8.001/mês a R$ 12.000/mês
Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
,,
 CDO, CIO," CTO etc)"""
,,
Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 8.001/mês a R$ 12.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,de R$ 12.001/mês a R$ 16.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês
,,de R$ 2.001/mês a R$ 3.000/mês
,,de R$ 8.001/mês a R$ 12.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Empregado (CLT),Tecnologia/Fábrica de Software,de 1 a 5
,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior
Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Outra Opção,Pleno,de R$ 30.001/mês a R$ 40.000/mês
de 501 a 1.000,FALSE,
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
 CDO, CIO," CTO etc)"""
Analista de Suporte/Analista Técnico,Júnior,de R$ 3.001/mês a R$ 4.000/mês
,,de R$ 6.001/mês a R$ 8.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 25.001/mês a R$ 30.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
,,
,,de R$ 3.001/mês a R$ 4.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Tecnologia/Fábrica de Software,de 501 a 1.000,FALSE
,,
,,de R$ 12.001/mês a R$ 16.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analytics Engineer,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista de Suporte/Analista Técnico,Júnior,de R$ 1.001/mês a R$ 2.000/mês
,,de R$ 8.001/mês a R$ 12.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior
Área de Consultoria,Acima de 3.000,FALSE
,,de R$ 1.001/mês a R$ 2.000/mês
,Analista de Dados/Data Analyst,Júnior
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT)
,,
Acima de 3.000,FALSE,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Acima de 3.000,FALSE,
,,de R$ 8.001/mês a R$ 12.000/mês
Outra Opção,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês
